title  Photometry data for APASS_J085815.7-430955 from search centered on 134.5651678 -43.16525496 using the apass calibration catalog
Median of Right Ascension  134.56543, rms   0.00273
Median of Declination      -43.16530, rms   0.00141
Median of magcal_magdep        12.70, rms      0.31
Median of magcal_local_rms      0.16, rms      0.26
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2416093.814335	1902.940587	12.72	 0.08	13.63	134.56559	-43.16503	 72.8	0.580	b31185	10	0	1349453827	975151	512	0.000700		0,1,11,16,17,18,19,21,22,28,30	9
2416118.778747	1903.008983	 0.00	 0.00	11.28	  0.00000	  0.00000	  0.0	0.000	am01786	10	0	0	0	2048	-1.000000			11
2416118.822377	1903.009102	 0.00	 0.00	11.90	  0.00000	  0.00000	  0.0	0.000	am01787	9	0	0	0	2048	-1.000000			11
2416118.869125	1903.009230	 0.00	 0.00	12.02	  0.00000	  0.00000	  0.0	0.000	am01788	10	0	0	0	2048	-1.000000			11
2416120.733811	1903.014339	 0.00	 0.00	11.61	  0.00000	  0.00000	  0.0	0.000	am01793	9	0	0	0	2048	-1.000000			11
2416120.779172	1903.014463	 0.00	 0.00	11.68	  0.00000	  0.00000	  0.0	0.000	am01794	10	0	0	0	2048	-1.000000			11
2416130.690578	1903.041618	 0.00	 0.00	12.55	  0.00000	  0.00000	  0.0	0.000	am01798	10	0	0	0	2048	-1.000000			11
2416130.765373	1903.041823	 0.00	 0.00	12.07	  0.00000	  0.00000	  0.0	0.000	b31249	9	0	0	0	2048	-1.000000			11
2416131.710009	1903.044411	 0.00	 0.00	13.00	  0.00000	  0.00000	  0.0	0.000	am01803	9	0	0	0	2048	-1.000000			11
2416131.716182	1903.044428	12.84	 0.08	15.39	134.56516	-43.16539	 81.3	0.337	b31266	10	0	1349451776	243477	640	0.000700		16,17,18,19,21,22,28,30	7,9
2416131.752947	1903.044529	 0.00	 0.00	12.28	  0.00000	  0.00000	  0.0	0.000	am01804	10	0	0	0	2048	-1.000000			11
2416149.723191	1903.093762	 0.00	 0.00	12.79	  0.00000	  0.00000	  0.0	0.000	am01813	10	0	0	0	2048	-1.000000			11
2416179.723691	1903.175955	 0.00	 0.00	11.27	  0.00000	  0.00000	  0.0	0.000	am01833	10	0	0	0	2048	-1.000000			11
2416197.621565	1903.224991	 0.00	 0.00	11.61	  0.00000	  0.00000	  0.0	0.000	am01841	9	0	0	0	2048	-1.000000			11
2416204.604183	1903.244121	 0.00	 0.00	11.20	  0.00000	  0.00000	  0.0	0.000	am01845	9	0	0	0	2048	-1.000000			11
2416207.597377	1903.252322	 0.00	 0.00	11.06	  0.00000	  0.00000	  0.0	0.000	am01849	10	0	0	0	2048	-1.000000			11
2416222.597948	1903.293419	12.77	 0.37	13.09	134.56597	-43.16533	-77.2	0.685	b31442	10	8320	1349388288	1107641	4609	0.000700	7,13	11,17,18,19,21,22,28,30	0,9,12
2416222.608362	1903.293448	 0.00	 0.00	10.77	  0.00000	  0.00000	  0.0	0.000	am01860	9	0	0	0	2048	-1.000000			11
2416239.503079	1903.339734	 0.00	 0.00	12.92	  0.00000	  0.00000	  0.0	0.000	am01896	10	0	0	0	2048	-1.000000			11
2416239.525136	1903.339795	12.70	 0.08	15.67	134.56533	-43.16531	-80.8	0.232	b31584	10	128	1349451776	348032	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
2416239.546949	1903.339855	12.99	 0.78	13.03	134.55888	-43.16413	 18.1	0.487	am01897	9	8396800	1349388290	600952	256	0.000700	13,23	1,11,17,18,19,21,22,28,30	8
2416239.589647	1903.339972	 0.00	 0.00	12.88	  0.00000	  0.00000	  0.0	0.000	am01898	10	0	0	0	2048	-1.000000			11
2416242.519472	1903.347999	 0.00	 0.00	11.67	  0.00000	  0.00000	  0.0	0.000	am01921	9	0	0	0	2048	-1.000000			11
2416242.564834	1903.348123	 0.00	 0.00	12.24	  0.00000	  0.00000	  0.0	0.000	am01922	10	0	0	0	2048	-1.000000			11
2416249.521137	1903.367181	 0.00	 0.00	11.65	  0.00000	  0.00000	  0.0	0.000	am01932	10	0	0	0	2048	-1.000000			11
2416251.509788	1903.372630	 0.00	 0.00	11.70	  0.00000	  0.00000	  0.0	0.000	am01945	10	0	0	0	2048	-1.000000			11
2416253.537569	1903.378185	 0.00	 0.00	12.25	  0.00000	  0.00000	  0.0	0.000	am01948	9	0	0	0	2048	-1.000000			11
2416254.499520	1903.380821	 0.00	 0.00	12.43	  0.00000	  0.00000	  0.0	0.000	am01957	10	0	0	0	2048	-1.000000			11
2416268.502600	1903.419185	12.64	 0.18	14.02	134.56669	-43.16501	-89.5	0.396	am01985	10	0	1349451776	460608	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416278.502551	1903.446582	 0.00	 0.00	12.69	  0.00000	  0.00000	  0.0	0.000	am02012	10	0	0	0	2048	-1.000000			11
2416387.892635	1903.746281	 0.00	 0.00	12.71	  0.00000	  0.00000	  0.0	0.000	am02296	9	0	0	0	2048	-1.000000			11
2416414.848307	1903.820132	12.58	 0.22	12.93	134.56766	-43.16517	-64.8	0.416	am02351	10	8192	1349386240	811657	384	0.000700	13	17,18,19,21,22,28,30	7,8
2416438.802556	1903.885760	 0.00	 0.00	11.36	  0.00000	  0.00000	  0.0	0.000	am02387	10	0	0	0	2048	-1.000000			11
2416438.846186	1903.885880	 0.00	 0.00	12.15	  0.00000	  0.00000	  0.0	0.000	am02388	10	0	0	0	2048	-1.000000			11
2416458.773431	1903.940475	12.93	 0.33	13.32	134.56181	-43.16443	-55.5	0.285	am02394	10	8192	1349386240	320237	384	0.000700	13	17,18,19,21,22,28,30	7,8
2416466.748957	1903.962326	 0.00	 0.00	12.55	  0.00000	  0.00000	  0.0	0.000	am02419	10	0	0	0	2048	-1.000000			11
2416489.775841	1904.025344	 0.00	 0.00	11.06	  0.00000	  0.00000	  0.0	0.000	am02441	10	0	0	0	2048	-1.000000			11
2416494.751455	1904.038938	 0.00	 0.00	11.86	  0.00000	  0.00000	  0.0	0.000	am02451	10	0	0	0	2048	-1.000000			11
2416534.718765	1904.148139	 0.00	 0.00	12.62	  0.00000	  0.00000	  0.0	0.000	am02472	10	0	0	0	2048	-1.000000			11
2416549.703087	1904.189079	 0.00	 0.00	11.74	  0.00000	  0.00000	  0.0	0.000	am02476	9	0	0	0	2048	-1.000000			11
2416568.618314	1904.240760	 0.00	 0.00	11.19	  0.00000	  0.00000	  0.0	0.000	am02495	10	0	0	0	2048	-1.000000			11
2416573.639289	1904.254479	 0.00	 0.00	12.20	  0.00000	  0.00000	  0.0	0.000	am02498	10	0	0	0	2048	-1.000000			11
2416575.607942	1904.259858	12.68	 0.07	16.00	134.56553	-43.16515	-78.7	0.311	b33214	10	128	1349453824	323650	513	0.000700	7	11,16,17,18,19,21,22,28,30	0,9
2416578.605534	1904.268048	12.70	 0.08	14.23	134.56564	-43.16535	 68.7	0.136	b33233	10	0	1349451776	543125	640	0.000700		16,17,18,19,21,22,28,30	7,9
2416582.630297	1904.279045	 0.00	 0.00	11.65	  0.00000	  0.00000	  0.0	0.000	am02521	10	0	0	0	2048	-1.000000			11
2416582.674620	1904.279166	 0.00	 0.00	11.57	  0.00000	  0.00000	  0.0	0.000	am02522	9	0	0	0	2048	-1.000000			11
2416591.573338	1904.303479	12.39	 0.47	12.43	134.56080	-43.16751	 18.6	0.325	am02560	10	8192	1349388288	172089	256	0.000700	13	11,17,18,19,21,22,28,30	8
2416591.617498	1904.303600	 0.00	 0.00	12.08	  0.00000	  0.00000	  0.0	0.000	am02561	9	0	0	0	2048	-1.000000			11
2416592.526120	1904.306082	 0.00	 0.00	12.71	  0.00000	  0.00000	  0.0	0.000	am02564	10	0	0	0	2048	-1.000000			11
2416603.573652	1904.336267	 0.00	 0.00	12.83	  0.00000	  0.00000	  0.0	0.000	am02585	9	0	0	0	2048	-1.000000			11
2416604.521058	1904.338855	 0.00	 0.00	11.97	  0.00000	  0.00000	  0.0	0.000	am02593	10	0	0	0	2048	-1.000000			11
2416604.610396	1904.339099	 0.00	 0.00	12.56	  0.00000	  0.00000	  0.0	0.000	am02595	10	0	0	0	2048	-1.000000			11
2416605.540488	1904.341641	 0.00	 0.00	12.14	  0.00000	  0.00000	  0.0	0.000	b33604	9	0	0	0	2048	-1.000000			11
2416607.537902	1904.347098	12.85	 0.18	13.56	134.56640	-43.16526	-81.2	0.275	am02621	10	0	1349451776	637292	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416612.540421	1904.360766	 0.00	 0.00	12.31	  0.00000	  0.00000	  0.0	0.000	am02641	9	0	0	0	2048	-1.000000			11
2416618.554043	1904.377197	12.95	 0.20	13.89	134.56301	-43.16569	-79.3	0.432	am02657	10	0	1349453827	542730	256	0.000700		0,1,11,16,17,18,19,21,22,28,30	8
2416635.521950	1904.423557	12.38	 0.15	13.40	134.56448	-43.16526	-52.4	0.171	am02698	10	0	1349451779	645175	384	0.000700		0,1,16,17,18,19,21,22,28,30	7,8
2416636.550031	1904.426366	 0.00	 0.00	12.13	  0.00000	  0.00000	  0.0	0.000	am02708	9	0	0	0	2048	-1.000000			11
2416639.564348	1904.434602	 0.00	 0.00	11.64	  0.00000	  0.00000	  0.0	0.000	am02722	10	0	0	0	2048	-1.000000			11
2416644.541347	1904.448200	 0.00	 0.00	11.81	  0.00000	  0.00000	  0.0	0.000	am02741	10	0	0	0	2048	-1.000000			11
2416649.509688	1904.461775	 0.00	 0.00	12.70	  0.00000	  0.00000	  0.0	0.000	am02753	9	0	0	0	2048	-1.000000			11
2416784.866873	1904.831603	 0.00	 0.00	13.21	  0.00000	  0.00000	  0.0	0.000	am03161	10	0	0	0	2048	-1.000000			11
2416785.831477	1904.834239	12.73	 0.53	12.79	134.56966	-43.16612	 78.4	0.583	am03169	9	8192	1349386243	1101674	384	0.000700	13	0,1,17,18,19,21,22,28,30	7,8
2416789.825519	1904.845152	 0.00	 0.00	11.89	  0.00000	  0.00000	  0.0	0.000	am03193	10	0	0	0	2048	-1.000000			11
2416789.869235	1904.845271	12.68	 1.25	12.87	134.56035	-43.16791	-86.2	0.322	am03194	9	12288	1349386240	686504	384	0.000700	12,13	17,18,19,21,22,28,30	7,8
2416796.828567	1904.864286	 0.00	 0.00	11.80	  0.00000	  0.00000	  0.0	0.000	am03222	10	0	0	0	2048	-1.000000			11
2416796.871505	1904.864403	 0.00	 0.00	11.93	  0.00000	  0.00000	  0.0	0.000	am03223	10	0	0	0	2048	-1.000000			11
2416801.877961	1904.878082	12.70	 0.07	14.70	134.56533	-43.16538	-89.7	0.231	b35280	10	128	1349451776	496444	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
